Kode Stasiun;Latitude;Longitude
SBG;5.87679 ;95.3382
SCN;-0.545875;100.298
KPY;-3.67999 ;102.582
LWA;-5.01744;104.058
LPS;-5.7887;105.583
SRG;-6.17132 ;106.051
SKB;-7.07442 ;106.531
CLP;-7.7194;109.015
YOG;-7.73119;110.354
TRT;-7.70543 ;112.635
LUT;-8.21959 ;116.407
ALR;-8.14423;124.59
SMI;-7.66885;131.579
SRO;-0.862834 ;131.259
TNT;0.812571 ;127.367
TND;1.29462;124.925
GTO;0.555972;123.141
LWK;-1.00019;122.784
PLU;-0.62027;119.859
TRD;2.13628; 117.424
JYP;-2.51447;140.704
AMB;-3.67585 ;128.111
GSI;1.30396;97.5755
MLB;4.04902;96.2477
;;